Make,,Make_Year,CC,Assembly,Registered City,Transmission,,Price,Categories
Toyota,,2014,1800,Imported,Karachi,Automatic,,3050000,5-10 lac
Toyota,,2018,1300,Local,Karachi,Manual,,2875000,25-50 lac
Honda,,2013,1300,Local,Karachi,Manual,,1690000,25-50 lac
Toyota,,2021,2800,Local,Lahore,Automatic,,7925000,15-20 lac
Toyota,,2016,1800,Imported,Un-Registered,Automatic,,4175000,50-100 lac
Toyota,,2018,1000,Imported,Un-Registered,Automatic,,2450000,25-50 lac
Honda,,2018,660,Imported,Un-Registered,Automatic,,2100000,20-25 lac
Toyota,,2014,1300,Local,Lahore,Manual,,1990000,20-25 lac
Suzuki,,2018,660,Imported,Un-Registered,Automatic,,1925000,15-20 lac
Honda,,2015,1500,Imported,Un-Registered,Automatic,,4400000,15-20 lac
Toyota,,2017,2700,Local,Lahore,Automatic,,7900000,25-50 lac
Suzuki,,2015,660,Imported,Islamabad,Automatic,,1625000,50-100 lac
Suzuki,,2014,1000,Local,Islamabad,Manual,,1295000,15-20 lac
Toyota,,2015,1500,Imported,Lahore,Automatic,,2800000,10-15 lac
Suzuki,,2017,1000,Local,Lahore,Manual,,1500000,25-50 lac
Suzuki,,2016,1000,Local,Rawalpindi,Manual,,1400000,10-15 lac
Honda,,1997,1600,Local,Karachi,Automatic,,790000,10-15 lac
Suzuki,,2006,1000,Local,Karachi,Manual,,810000,5-10 lac
Honda,,2013,660,Imported,Lahore,Automatic,,1415000,5-10 lac
Honda,,2015,1300,Local,Islamabad,Automatic,,2375000,10-15 lac
Honda,,2017,1500,Imported,Lahore,Automatic,,3550000,20-25 lac
Toyota,,2006,1500,Imported,Lahore,Automatic,,2400000,25-50 lac
Hyundai,,2006,1000,Local,Lahore,Manual,,850000,20-25 lac
Toyota,,2017,1000,Imported,Karachi,Automatic,,2600000,5-10 lac
Suzuki,,2009,800,Imported,Islamabad,Manual,,610000,25-50 lac
Suzuki,,2013,1000,Local,Karachi,Manual,,1050000,5-10 lac
Toyota,,2002,1000,Imported,Karachi,Automatic,,1050000,10-15 lac
Toyota,,2013,1500,Imported,Karachi,Automatic,,2250000,10-15 lac
Mercedes,,2007,1800,Imported,Lahore,Automatic,,4000000,20-25 lac
Honda,,2000,1600,Local,Karachi,Manual,,735000,25-50 lac
Suzuki,,2017,800,Local,Lahore,Manual,,890000,5-10 lac
Honda,,2013,1800,Local,Lahore,Manual,,2350000,5-10 lac
Honda,,2018,660,Imported,Islamabad,Automatic,,2200000,20-25 lac
Suzuki,,2012,1300,Local,Lahore,Manual,,1400000,20-25 lac
Honda,,2018,1800,Local,Lahore,Automatic,,3700000,10-15 lac
Toyota,,2021,2700,Local,Un-Registered,Automatic,,8300000,25-50 lac
Toyota,,2021,2700,Local,Un-Registered,Automatic,,9200000,50-100 lac
Toyota,,2021,2700,Local,Un-Registered,Automatic,,9220000,50-100 lac
Toyota,,2021,2700,Local,Un-Registered,Automatic,,9200000,50-100 lac
Toyota,,2019,2700,Local,Islamabad,Automatic,,9200000,50-100 lac
Honda,,2010,1800,Local,Karachi,Automatic,,1850000,50-100 lac
Suzuki,,2015,1000,Local,Karachi,Manual,,1150000,15-20 lac
Mitsubishi,,1991,2000,Local,Gujranwala,Manual,,850000,10-15 lac
Honda,,2019,1800,Local,Lahore,Automatic,,2100000,5-10 lac
Toyota,,2014,1300,Local,Lahore,Manual,,2125000,20-25 lac
Mitsubishi,,2007,660,Imported,Karachi,Automatic,,1000000,20-25 lac
Honda,,2017,1300,Local,Lahore,Manual,,2325000,5-10 lac
Honda,,2019,1800,Local,Karachi,Automatic,,4250000,20-25 lac
Toyota,,2016,1300,Local,Karachi,Manual,,2275000,25-50 lac
Toyota,,2010,1300,Local,Karachi,Manual,,1485000,20-25 lac
Suzuki,,2008,1000,Local,Islamabad,Manual,,750000,10-15 lac
KIA,,2019,1000,Local,Karachi,Automatic,,2150000,5-10 lac
Suzuki,,2011,800,Local,Lahore,Manual,,700000,20-25 lac
Suzuki,,1990,800,Local,Peshawar,Manual,,327000,5-10 lac
Suzuki,,2020,660,Local,Lahore,Automatic,,1725000,under 5 lac
Honda,,2019,1300,Local,Lahore,Manual,,2450000,15-20 lac
Suzuki,,2012,800,Local,Islamabad,Manual,,750000,20-25 lac
Nissan,,2018,1200,Imported,Un-Registered,Automatic,,3040000,5-10 lac
Honda,,2017,1300,Local,Islamabad,Automatic,,2590000,25-50 lac
Toyota,,2006,3000,Imported,Un-Registered,Automatic,,600000,25-50 lac
Honda,,2010,1800,Local,Islamabad,Automatic,,2050000,5-10 lac
Toyota,,2010,1300,Local,Islamabad,Manual,,1950000,20-25 lac
Suzuki,,2012,800,Local,Lahore,Manual,,685000,15-20 lac
Honda,,2015,1300,Local,Islamabad,Automatic,,2350000,5-10 lac
Honda,,2010,1800,Local,Lahore,Automatic,,1950000,20-25 lac
Hyundai,,2021,2000,Imported,Un-Registered,Automatic,,4420000,15-20 lac
Honda,,2010,1800,Local,Islamabad,Automatic,,1880000,25-50 lac
Toyota,,2017,1800,Imported,Un-Registered,Automatic,,4950000,15-20 lac
Toyota,,2003,4200,Imported,Karachi,Automatic,,6750000,25-50 lac
Toyota,,2012,1300,Local,Karachi,Manual,,1695000,50-100 lac
Toyota,,2017,1300,Imported,Un-Registered,Automatic,,2575000,15-20 lac
Nissan,,2017,1200,Imported,Un-Registered,Automatic,,2950000,25-50 lac
Toyota,,2007,1300,Local,Lahore,Manual,,1380000,25-50 lac
Honda,,2016,1800,Local,Islamabad,Automatic,,3155000,10-15 lac
Toyota,,2011,1300,Local,Islamabad,Manual,,2000000,25-50 lac
Toyota,,2020,2800,Local,Islamabad,Automatic,,10600000,15-20 lac
Honda,,2007,1800,Local,Karachi,Automatic,,1400000,FALSE
Daihatsu,,2010,800,Local,Karachi,Automatic,,985000,10-15 lac
Honda,,2016,1500,Imported,Karachi,Automatic,,3750000,5-10 lac
Toyota,,2014,1000,Imported,Lahore,Automatic,,2375000,25-50 lac
Toyota,,2017,1500,Local,Un-Registered,Automatic,,2975000,20-25 lac
Toyota,,2004,1600,Local,Lahore,Manual,,1540000,25-50 lac
Honda,,2015,1800,Local,Islamabad,Automatic,,2600000,15-20 lac
Mercedes,,2020,1500,Imported,Un-Registered,Automatic,,17700000,25-50 lac
Proton,,2021,1500,Imported,Un-Registered,Automatic,,5600000,FALSE
Honda,,2010,1800,Local,Islamabad,Manual,,2200000,50-100 lac
Toyota,,2007,4600,Imported,Lahore,Automatic,,16100000,20-25 lac
Toyota,,2017,1000,Imported,Un-Registered,Automatic,,2575000,FALSE
Honda,,2010,1800,Local,Lahore,Automatic,,2050000,25-50 lac
Toyota,,2017,1800,Imported,Un-Registered,Automatic,,4800000,20-25 lac
Nissan,,2017,1200,Imported,Un-Registered,Automatic,,3150000,25-50 lac
Suzuki,,2017,660,Imported,Lahore,Automatic,,1895000,25-50 lac
Honda,,2014,1500,Imported,Lahore,Automatic,,3450000,15-20 lac
Honda,,2018,660,Imported,Islamabad,Automatic,,2125000,25-50 lac
Mitsubishi,,2005,1800,Imported,Karachi,Automatic,,1100000,20-25 lac
Daihatsu,,2017,660,Imported,Un-Registered,Automatic,,2065000,10-15 lac
Suzuki,,2011,800,Local,Peshawar,Manual,,550000,20-25 lac
Hyundai,,2005,1000,Local,Islamabad,Manual,,785000,5-10 lac
Daihatsu,,2017,660,Imported,Lahore,Automatic,,1900000,5-10 lac
Toyota,,2015,1300,Local,Lahore,Manual,,2350000,15-20 lac
Hyundai,,2003,1000,Local,Lahore,Manual,,650000,20-25 lac
Toyota,,2010,1300,Local,Lahore,Manual,,1575000,5-10 lac
Suzuki,,2004,1300,Local,Multan,Manual,,775000,15-20 lac
Toyota,,2014,1000,Local,Lahore,Automatic,,405000,5-10 lac
Honda,,2019,1800,Local,Islamabad,Automatic,,3700000,under 5 lac
Suzuki,,2016,800,Local,Islamabad,Manual,,935000,25-50 lac
Honda,,2016,1300,Local,Lahore,Automatic,,2275000,5-10 lac
Suzuki,,2016,660,Imported,Un-Registered,Automatic,,1580000,20-25 lac
Honda,,2021,1800,Local,Un-Registered,Automatic,,4310000,15-20 lac
Honda,,2016,1300,Local,Rawalpindi,Manual,,2095000,25-50 lac
Daihatsu,,2014,660,Imported,Lahore,Automatic,,860000,20-25 lac
Toyota,,2017,1500,Imported,Un-Registered,Automatic,,3650000,5-10 lac
Toyota,,2020,2800,Local,Un-Registered,Automatic,,7800000,25-50 lac
Toyota,,2017,3000,Local,Karachi,Automatic,,6300000,50-100 lac
Honda,,2018,1300,Local,Islamabad,Automatic,,2610000,50-100 lac
Honda,,2017,1500,Imported,Un-Registered,Automatic,,4800000,25-50 lac
Toyota,,2002,4700,Imported,Islamabad,Automatic,,8850000,25-50 lac
Toyota,,2016,1800,Local,Lahore,Automatic,,2980000,50-100 lac
Honda,,2011,1300,Imported,Lahore,Automatic,,2000000,25-50 lac
Toyota,,2003,4700,Imported,Islamabad,Automatic,,9300000,15-20 lac
Honda,,2018,1300,Local,Lahore,Manual,,2195000,50-100 lac
Suzuki,,2017,1000,Local,Islamabad,Manual,,1525000,20-25 lac
Toyota,,2005,4700,Imported,Islamabad,Automatic,,10100000,15-20 lac
BMW,,2007,4400,Imported,Islamabad,Automatic,,4850000,FALSE
Honda,,2015,1800,Local,Islamabad,Automatic,,2650000,25-50 lac
Toyota,,2017,1500,Imported,Un-Registered,Automatic,,3595000,25-50 lac
Honda,,2013,1800,Local,Karachi,Manual,,2250000,25-50 lac
Toyota,,2017,3000,Local,Islamabad,Automatic,,6800000,20-25 lac
Toyota,,2018,2800,Local,Islamabad,Automatic,,7650000,50-100 lac
Suzuki,,2004,1000,Local,Islamabad,Manual,,585000,50-100 lac
Honda,,2016,1800,Local,Lahore,Automatic,,3350000,5-10 lac
Suzuki,,2021,1000,Local,Un-Registered,Manual,,2150000,25-50 lac
Toyota,,2014,1300,Local,Karachi,Manual,,2300000,20-25 lac
Toyota,,2017,1600,Local,Lahore,Automatic,,3030000,20-25 lac
Mitsubishi,,2018,660,Imported,Un-Registered,Automatic,,2065000,25-50 lac
Honda,,2018,1300,Local,Islamabad,Automatic,,2625000,20-25 lac
Toyota,,2013,1800,Imported,Islamabad,Automatic,,3050000,25-50 lac
Toyota,,1996,3000,Imported,Lahore,Automatic,,3500000,25-50 lac
Toyota,,2016,1800,Local,Lahore,Automatic,,3150000,25-50 lac
Honda,,2019,1500,Local,Lahore,Automatic,,3550000,25-50 lac
Mercedes,,2007,2100,Imported,Un-Registered,Automatic,,3900000,25-50 lac
Honda,,2015,1500,Imported,Lahore,Automatic,,3550000,25-50 lac
Changan,,2021,1500,Local,Un-Registered,Automatic,,2945000,25-50 lac
Toyota,,2019,1000,Imported,Un-Registered,Automatic,,2875000,25-50 lac
Toyota,,2016,1000,Imported,Karachi,Automatic,,2380000,25-50 lac
Toyota,,1997,1300,Local,Un-Registered,Manual,,1330000,20-25 lac
Honda,,2011,1300,Local,Islamabad,Manual,,1735000,10-15 lac
Toyota,,2017,1000,Imported,Un-Registered,Automatic,,2395000,15-20 lac
Toyota,,2017,1000,Imported,Un-Registered,Automatic,,2550000,20-25 lac
Changan,,2021,1300,Local,Un-Registered,Manual,,2450000,25-50 lac
Toyota,,2017,1000,Imported,Un-Registered,Automatic,,2550000,20-25 lac
Hyundai,,2020,2000,Local,Islamabad,Automatic,,6325000,25-50 lac
Toyota,,2017,4608,Imported,Un-Registered,Automatic,,42500000,50-100 lac
Suzuki,,2005,1300,Local,Islamabad,Manual,,825000,FALSE
Suzuki,,2012,800,Local,Lahore,Manual,,660000,5-10 lac
Honda,,2017,660,Imported,Un-Registered,Automatic,,1990000,5-10 lac
Suzuki,,2019,1000,Local,Islamabad,Manual,,1885000,15-20 lac
Suzuki,,2011,1000,Local,Lahore,Manual,,995000,15-20 lac
Suzuki,,2011,1000,Local,Lahore,Manual,,890000,5-10 lac
Suzuki,,2010,800,Local,Islamabad,Manual,,660000,5-10 lac
Suzuki,,2004,800,Local,Karachi,Manual,,310000,5-10 lac
Honda,,2019,1800,Local,Lahore,Automatic,,3950000,under 5 lac
Toyota,,2012,1300,Local,Karachi,Manual,,1625000,25-50 lac
Mitsubishi,,2017,660,Imported,Un-Registered,Automatic,,1765000,15-20 lac
Toyota,,2015,4600,Imported,Islamabad,Automatic,,33000000,15-20 lac
Toyota,,2017,1300,Local,Multan,Automatic,,2700000,FALSE
Honda,,2017,1800,Local,Islamabad,Automatic,,3250000,25-50 lac
Toyota,,2010,1000,Imported,Karachi,Automatic,,1410000,25-50 lac
Suzuki,,2012,660,Imported,Islamabad,Automatic,,1590000,10-15 lac
Daihatsu,,2017,660,Imported,Karachi,Automatic,,2075000,15-20 lac
Toyota,,2020,1800,Local,Islamabad,Automatic,,4300000,20-25 lac
Honda,,2005,1600,Local,Karachi,Automatic,,1350000,25-50 lac
Suzuki,,2015,800,Local,Lahore,Manual,,690000,10-15 lac
Honda,,2017,1300,Local,Lahore,Manual,,2350000,5-10 lac
Honda,,2011,1800,Local,Lahore,Automatic,,2035000,20-25 lac
Toyota,,2003,1000,Imported,Lahore,Automatic,,1320000,20-25 lac
Honda,,2020,1800,Local,Islamabad,Automatic,,4410000,10-15 lac
Mercedes,,2014,2000,Local,Karachi,Automatic,,9700000,25-50 lac
Honda,,2017,1800,Local,Lahore,Automatic,,3500000,50-100 lac
Toyota,,2017,1500,Imported,Un-Registered,Automatic,,2950000,25-50 lac
Toyota,,2013,2700,Imported,Lahore,Automatic,,13000000,25-50 lac
Honda,,2018,1800,Local,Lahore,Automatic,,3695000,FALSE
Toyota,,2016,1000,Imported,Lahore,Automatic,,2595000,25-50 lac
Suzuki,,2015,800,Local,Rawalpindi,Manual,,835000,25-50 lac
Suzuki,,1999,1000,Local,Karachi,Manual,,360000,5-10 lac
Suzuki,,2011,800,Local,Karachi,Manual,,490000,under 5 lac
Honda,,2004,1600,Local,Faisalabad,Manual,,950000,under 5 lac
Suzuki,,2009,1300,Local,Lahore,Manual,,910000,5-10 lac
Toyota,,2017,1500,Imported,Un-Registered,Automatic,,3150000,5-10 lac
Toyota,,2013,1800,Imported,Islamabad,Automatic,,2990000,25-50 lac
Suzuki,,2010,1300,Local,Islamabad,Manual,,1300000,25-50 lac
Toyota,,2021,2700,Local,Un-Registered,Automatic,,9200000,10-15 lac
Mitsubishi,,2006,660,Imported,Lahore,Manual,,695000,50-100 lac
Toyota,,2019,2800,Local,Karachi,Automatic,,9900000,5-10 lac
Suzuki,,2016,1000,Local,Lahore,Manual,,1340000,50-100 lac
Honda,,2017,1800,Local,Islamabad,Automatic,,3530000,10-15 lac
Honda,,2016,1500,Imported,Un-Registered,Automatic,,4550000,25-50 lac
Daihatsu,,2018,660,Imported,Un-Registered,Automatic,,2045000,25-50 lac
Suzuki,,2009,800,Local,Lahore,Manual,,701000,20-25 lac
Honda,,2017,1800,Local,Lahore,Automatic,,3700000,5-10 lac
Honda,,2018,1300,Local,Lahore,Automatic,,2500000,25-50 lac
Honda,,2003,1500,Local,Lahore,Manual,,1125000,20-25 lac
Toyota,,2019,1600,Local,Islamabad,Automatic,,3525000,10-15 lac
Toyota,,2015,1300,Local,Faisalabad,Manual,,2450000,25-50 lac
Honda,,2010,1800,Local,Islamabad,Automatic,,1890000,20-25 lac
Mercedes,,2019,1600,Imported,Islamabad,Automatic,,12000000,15-20 lac
Hyundai,,2021,2000,Local,Lahore,Automatic,,4479000,FALSE
KIA,,2020,2000,Local,Islamabad,Automatic,,5250000,25-50 lac
Toyota,,2021,2800,Local,Un-Registered,Automatic,,8050000,50-100 lac
Suzuki,,2016,1000,Local,Lahore,Manual,,1375000,50-100 lac
Suzuki,,2018,1300,Local,Karachi,Automatic,,2030000,10-15 lac
Toyota,,2018,1800,Local,Islamabad,Automatic,,3750000,20-25 lac
Honda,,2020,1300,Local,Lahore,Automatic,,2625000,25-50 lac
Suzuki,,2000,1300,Local,Lahore,Manual,,620000,25-50 lac
Suzuki,,2011,1000,Local,Islamabad,Manual,,950000,5-10 lac
Suzuki,,2021,1000,Local,Un-Registered,Automatic,,2275000,5-10 lac
Suzuki,,2012,800,Local,Karachi,Manual,,670000,20-25 lac
Daihatsu,,2006,800,Imported,Faisalabad,Automatic,,825000,5-10 lac
Toyota,,2013,1800,Imported,Lahore,Automatic,,2650000,5-10 lac
Suzuki,,1998,800,Local,Lahore,Manual,,350000,25-50 lac
Honda,,2003,1600,Local,Karachi,Automatic,,990000,under 5 lac
Mitsubishi,,2013,660,Imported,Islamabad,Automatic,,995000,5-10 lac
Suzuki,,2005,1000,Local,Karachi,Manual,,490000,5-10 lac
Suzuki,,2016,660,Imported,Un-Registered,Automatic,,1800000,under 5 lac
Suzuki,,2018,1000,Local,Karachi,Manual,,1725000,15-20 lac
Honda,,2004,1300,Local,Lahore,Manual,,1135000,15-20 lac
Honda,,2008,1300,Local,Lahore,Manual,,1420000,10-15 lac
Honda,,2016,1800,Local,Islamabad,Automatic,,3290000,10-15 lac
Toyota,,2017,1500,Imported,Un-Registered,Automatic,,3420000,25-50 lac
Toyota,,2021,1300,Local,Lahore,Manual,,2850000,25-50 lac
Suzuki,,2014,1000,Local,Lahore,Manual,,1325000,25-50 lac
Honda,,2014,1300,Local,Islamabad,Manual,,1955000,10-15 lac
Toyota,,2012,2700,Imported,Islamabad,Automatic,,12800000,15-20 lac
Honda,,2020,1500,Local,Islamabad,Automatic,,3650000,FALSE
Honda,,2017,1500,Local,Lahore,Automatic,,2495000,25-50 lac
KIA,,2020,2000,Local,Islamabad,Automatic,,5675000,20-25 lac
Honda,,2016,660,Imported,Un-Registered,Automatic,,2150000,50-100 lac
Honda,,2019,1800,Local,Rawalpindi,Automatic,,4200000,20-25 lac
Suzuki,,2005,1000,Local,Islamabad,Manual,,1150000,25-50 lac
Toyota,,2016,1800,Imported,Islamabad,Automatic,,3999000,10-15 lac
Toyota,,2017,1600,Local,Islamabad,Automatic,,3250000,25-50 lac
Toyota,,2014,1000,Imported,Karachi,Automatic,,1920000,25-50 lac
Honda,,2016,1300,Local,Lahore,Manual,,2170000,15-20 lac
Honda,,2018,1800,Local,Islamabad,Automatic,,4000000,20-25 lac
Toyota,,2010,1300,Local,Lahore,Manual,,1700000,25-50 lac
Suzuki,,2008,800,Local,Islamabad,Manual,,600000,15-20 lac
Toyota,,2007,1300,Imported,Islamabad,Automatic,,1650000,5-10 lac
Toyota,,1992,2500,Imported,Lahore,Automatic,,1600000,15-20 lac
Honda,,2014,1800,Local,Islamabad,Automatic,,2550000,15-20 lac
Toyota,,2015,1300,Local,Karachi,Automatic,,2600000,25-50 lac
BMW,,1994,3000,Imported,Islamabad,Automatic,,900000,25-50 lac
Toyota,,2012,1600,Local,Lahore,Manual,,1850000,5-10 lac
Suzuki,,2018,1000,Imported,Islamabad,Manual,,1845000,15-20 lac
Suzuki,,1990,800,Local,Vehari,Manual,,275000,15-20 lac
Suzuki,,2017,1000,Local,Lahore,Manual,,1800000,under 5 lac
Toyota,,2018,2700,Local,Karachi,Automatic,,8450000,15-20 lac
Toyota,,2010,1300,Local,Multan,Manual,,1695000,50-100 lac
Suzuki,,2014,1300,Local,Lahore,Automatic,,1585000,15-20 lac
Honda,,2006,1500,Local,Lahore,Manual,,1435000,15-20 lac
Toyota,,2001,4200,Imported,Karachi,Automatic,,5350000,10-15 lac
Toyota,,2011,1000,Imported,Lahore,Automatic,,1865000,50-100 lac
Honda,,2014,660,Imported,Lahore,Automatic,,1795000,15-20 lac
Suzuki,,2014,660,Imported,Lahore,Automatic,,1350000,15-20 lac
Toyota,,2017,1800,Imported,Un-Registered,Automatic,,4800000,10-15 lac
Toyota,,2018,1000,Imported,Un-Registered,Automatic,,2800000,25-50 lac
Toyota,,2017,1500,Imported,Un-Registered,Automatic,,3525000,25-50 lac
Toyota,,2017,4600,Imported,Un-Registered,Automatic,,41000000,25-50 lac
Toyota,,2015,1300,Local,Lahore,Manual,,2440000,FALSE
Toyota,,2004,2000,Local,Lahore,Manual,,1300000,20-25 lac
Toyota,,2006,1500,Imported,Islamabad,Automatic,,2750000,10-15 lac
Daihatsu,,2009,800,Imported,Karachi,Manual,,630000,25-50 lac
Toyota,,2005,1000,Imported,Karachi,Automatic,,1125000,5-10 lac
Honda,,2014,1300,Local,Islamabad,Manual,,2030000,10-15 lac
Toyota,,1992,1500,Imported,Islamabad,Manual,,700000,20-25 lac
Toyota,,2006,1300,Local,Lahore,Manual,,1450000,5-10 lac
Honda,,2017,1800,Local,Islamabad,Automatic,,3700000,10-15 lac
Toyota,,2017,1300,Local,Lahore,Manual,,2425000,25-50 lac
Toyota,,2004,1300,Imported,Islamabad,Automatic,,1850000,20-25 lac
Toyota,,2000,2000,Local,Lahore,Manual,,999000,15-20 lac
Toyota,,2010,1800,Imported,Islamabad,Automatic,,4450000,5-10 lac
Toyota,,2019,2700,Local,Islamabad,Automatic,,9300000,25-50 lac
Toyota,,1994,1500,Imported,Lahore,Automatic,,1250000,50-100 lac
Mitsubishi,,1993,2800,Imported,Mirpur A.K.,Manual,,1500000,10-15 lac
Toyota,,2007,1300,Local,Karachi,Manual,,1070000,10-15 lac
Suzuki,,2004,1000,Local,Lahore,Manual,,630000,10-15 lac
Honda,,1997,1500,Local,Karachi,Manual,,550000,5-10 lac
Suzuki,,2011,1000,Local,Lahore,Manual,,850000,5-10 lac
Honda,,2003,2400,Imported,Islamabad,Automatic,,1800000,5-10 lac
Toyota,,2014,1800,Imported,Islamabad,Automatic,,2875000,15-20 lac
Suzuki,,1993,800,Local,Bahawalpur,Manual,,250000,25-50 lac
Honda,,2015,1500,Imported,Karachi,Automatic,,4050000,under 5 lac
Toyota,,2016,1300,Local,Karachi,Automatic,,2550000,25-50 lac
Toyota,,2018,1500,Imported,Un-Registered,Automatic,,3950000,25-50 lac
Honda,,2015,1500,Imported,Karachi,Automatic,,3650000,25-50 lac
Honda,,2011,1800,Local,Sialkot,Manual,,2100000,25-50 lac
Toyota,,2012,2700,Imported,Lahore,Automatic,,12500000,20-25 lac
Honda,,2020,660,Imported,Un-Registered,Automatic,,2775000,FALSE
Honda,,2014,1500,Local,Islamabad,Manual,,1825000,25-50 lac
Suzuki,,2011,1300,Local,Lahore,Manual,,1265000,15-20 lac
Toyota,,2000,4700,Imported,Karachi,Automatic,,6300000,10-15 lac
Toyota,,2009,2700,Imported,Lahore,Automatic,,10200000,50-100 lac
Suzuki,,2020,1000,Local,Karachi,Manual,,2050000,FALSE
Toyota,,2005,2000,Local,Lahore,Manual,,1375000,20-25 lac
Toyota,,2015,1300,Local,Lahore,Manual,,2225000,10-15 lac
Suzuki,,2012,800,Local,Lahore,Manual,,625000,20-25 lac
Honda,,2004,1300,Local,Lahore,Manual,,1090000,5-10 lac
Toyota,,1995,1600,Imported,Lahore,Manual,,850000,10-15 lac
Honda,,2015,1300,Local,Lahore,Manual,,2095000,5-10 lac
Toyota,,2020,1300,Local,Un-Registered,Manual,,3000000,20-25 lac
Honda,,2021,1800,Local,Un-Registered,Automatic,,4525000,25-50 lac
Toyota,,2017,1600,Local,Islamabad,Automatic,,2930000,25-50 lac
Honda,,2019,1800,Local,Islamabad,Automatic,,4210000,25-50 lac
Honda,,2011,1800,Local,Karachi,Automatic,,1815000,25-50 lac
Suzuki,,2018,1300,Local,Karachi,Manual,,1685000,15-20 lac
Suzuki,,2012,800,Local,Karachi,Manual,,665000,15-20 lac
Toyota,,2002,1600,Local,Karachi,Manual,,1100000,5-10 lac
Toyota,,2015,1600,Local,Karachi,Automatic,,2620000,10-15 lac
Toyota,,2011,1800,Imported,Karachi,Automatic,,2495000,25-50 lac
Toyota,,2005,4700,Imported,Lahore,Automatic,,8900000,20-25 lac
Toyota,,2018,1000,Imported,Un-Registered,Automatic,,2865000,50-100 lac
Mitsubishi,,2003,2500,Imported,Lahore,Manual,,1500000,25-50 lac
Suzuki,,2017,800,Local,Lahore,Manual,,920000,10-15 lac
Toyota,,2016,1300,Local,Karachi,Manual,,2700000,5-10 lac
Toyota,,2014,1000,Imported,Lahore,Automatic,,1950000,25-50 lac
Honda,,2018,1500,Imported,Karachi,Automatic,,5600000,15-20 lac
Mitsubishi,,2007,660,Imported,Lahore,Automatic,,950000,50-100 lac
Suzuki,,2010,800,Local,Lahore,Manual,,625000,5-10 lac
Toyota,,2020,1500,Local,Un-Registered,Automatic,,3165000,5-10 lac
Suzuki,,2015,800,Local,Karachi,Manual,,700000,25-50 lac
Honda,,2011,1800,Imported,Karachi,Manual,,1600000,5-10 lac
Honda,,2018,1800,Local,Lahore,Automatic,,3575000,15-20 lac
Suzuki,,1996,1300,Local,Lahore,Manual,,450000,25-50 lac
Toyota,,2017,1600,Local,Lahore,Automatic,,2990000,under 5 lac
Toyota,,2006,1500,Imported,Islamabad,Automatic,,2750000,25-50 lac
Honda,,2018,1500,Local,Lahore,Automatic,,2730000,25-50 lac
Suzuki,,2021,660,Local,Un-Registered,Manual,,1500000,25-50 lac
Proton,,2021,1500,Local,Un-Registered,Automatic,,6300000,10-15 lac
Toyota,,2007,1500,Imported,Karachi,Automatic,,2700000,50-100 lac
Honda,,2011,1300,Local,Lahore,Manual,,1725000,25-50 lac
Suzuki,,2013,1000,Local,Karachi,Manual,,1000000,15-20 lac
Suzuki,,1994,800,Local,Lahore,Manual,,360000,5-10 lac
Suzuki,,1999,1300,Local,Islamabad,Manual,,560000,under 5 lac
Mercedes,,1994,1800,Local,Karachi,Automatic,,1150000,5-10 lac
Honda,,2020,1500,Local,Other,Automatic,,2800000,10-15 lac
Suzuki,,1993,1300,Imported,Abottabad,Manual,,490000,25-50 lac
Daihatsu,,2018,660,Imported,Lahore,Automatic,,1100000,under 5 lac
Suzuki,,1992,800,Imported,Rawalpindi,Manual,,295000,10-15 lac
Honda,,2016,1500,Local,Islamabad,Automatic,,3680000,under 5 lac
Mercedes,,2006,3500,Imported,Un-Registered,Automatic,,8000000,25-50 lac
Toyota,,2019,1600,Local,Karachi,Automatic,,3550000,50-100 lac
Honda,,2016,1500,Local,Karachi,Automatic,,3350000,25-50 lac
Suzuki,,2019,1000,Local,Islamabad,Manual,,2020000,25-50 lac
Honda,,2017,660,Imported,Karachi,Automatic,,1375000,20-25 lac
Toyota,,2019,1300,Local,Karachi,Automatic,,3200000,10-15 lac
Suzuki,,2019,1000,Local,Un-Registered,Manual,,1950000,25-50 lac
Toyota,,2020,1300,Local,Karachi,Automatic,,2850000,15-20 lac
Honda,,2014,1500,Imported,Karachi,Automatic,,3225000,25-50 lac
Suzuki,,2004,1000,Local,Islamabad,Manual,,600000,25-50 lac
Honda,,2004,1600,Local,Karachi,Automatic,,1200000,5-10 lac
Mercedes,,2012,1800,Imported,Islamabad,Automatic,,6400000,10-15 lac
Honda,,2009,1800,Local,Karachi,Automatic,,1585000,50-100 lac
Nissan,,2018,1200,Imported,Un-Registered,Automatic,,3750000,15-20 lac
Honda,,2004,1600,Local,Lahore,Automatic,,1295000,25-50 lac
Suzuki,,2008,1000,Local,Lahore,Manual,,830000,10-15 lac
Suzuki,,2012,1000,Local,Karachi,Manual,,950000,5-10 lac
Honda,,2018,1800,Local,Islamabad,Automatic,,3790000,5-10 lac
Suzuki,,2016,1000,Local,Karachi,Manual,,1375000,25-50 lac
Honda,,2018,1800,Local,Karachi,Automatic,,3900000,10-15 lac
Suzuki,,2005,800,Local,Lahore,Manual,,425000,25-50 lac
Toyota,,2021,2800,Local,Karachi,Automatic,,11300000,under 5 lac
Toyota,,2019,1300,Local,Karachi,Automatic,,3000000,FALSE
Toyota,,2001,2000,Imported,Karachi,Automatic,,2000000,25-50 lac
Honda,,2017,1500,Local,Karachi,Automatic,,2650000,15-20 lac
Honda,,2015,1800,Local,Karachi,Automatic,,2600000,25-50 lac
